Name,Web_Code,Review
"BOSCH WGG2440R10 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, Serie 6)",32008154010,4.8
"HAIER HW90-B14979 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, I-Pro Serie 7)",32008037408,4.4
"Siemens WU14UT71EX Waschmaschine (Frontlader, unterbaufähig, 9 kg, A, 1400 U/Min, iQ500)",32008144057,0.0
"AEG Waschmaschine L6FL731EX (Frontlader, freistehend, 7 kg, A, 1400 U/min, Serie 6000)",32007045500,5.0
"BAUKNECHT BPW 814 A Waschmaschine (Frontlader, freistehend, 8 kg, 1.400 U/Min)",32008067017,4.2
"AEG LR7FL941EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, Serie 7000, ÖKO LAVAMAT)",32008143500,0.0
"MIELE WCI870 WPS PWash&TDos&9kg Waschmaschine (EEK A, 1600 U/min, 9 kg Fassungsvermögen, Waterproof-System)",32008075042,4.9
"BAUKNECHT WM Elite 8FH A Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min)",32008068017,0.0
"MIELE WWR860 WPS PWash2.0 & TDos XL & WiFi Waschmaschine (EEK A, 1600 U/min, 9 kg Fassungsvermögen, Waterproof-System)",32008054042,3.8
"Siemens WG44G2M7EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, iQ500)",32008141057,0.0
"HAIER HW70-B14979 Waschmaschine (Frontlader, freistehend, 7 kg, A, 1400 U/Min)",32007002408,4.4
"Siemens iQ700 WG44B200EX Waschmaschine (Frontlader, 9 kg, A, 1400 U/Min, Aquastop, speedPack XL, Mini load)",32008179057,0.0
"Samsung WW90T554AAT/S2 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, WW5500T, WiFi SmartControl)",32008069743,0.0
"MIELE WED335 WPS PWash&8kg Waschmaschine (Frontlader, freistehend, 8 kg, A, 1400 U/Min, Schontrommel, Waterproof-System, AddLoad, PowerWash)",32008071042,0.0
"BOSCH WAV28M73EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1400 U/min., Serie 8, 4D Wash-System, Fleckenautomatik)",32008127010,4.8
"MIELE WCI860 WPS PWash&TDos&9kg Waschmaschine (EEK A, 1600 U/min, 9 kg Fassungsvermögen, Waterproof-System)",32008079042,0.0
"Samsung WW8TT754AEX Waschmaschine (Frontlader, 8 kg, 1400 U/min, B, WiFi, Sprachsteuerung über Bixby, Google Assistand und Alexa)",32008050743,0.0
"AEG L5CB31330 Waschmaschine (Frontlader, freistehend, 3 kg, F, 1.251 U/Min)",32001002500,4.2
"MIELE WWV980 WPS Passion Waschmaschine (Waterproof-System, EEK A, 9 kg Fassungsvermögen, 1600 U/min)",32008059042,0.0
"Siemens WM14VG73EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1.400 U/Min, iQ800)",32008140057,0.0
"MIELE WCD130 WCS 8kg Waschmaschine (Frontlader, freistehend, 8 kg, A, 1.400 U/Min)",32008068042,4.6
"BAUKNECHT B8 W846WB DE Waschmaschine (Frontlader, freistehend, 8 kg, A, 1351 U/Min, Nachlegefunktion)",32008061017,4.3
"MIELE PWM 300 SmartBiz Waschmaschine (Frontlader, freistehend, A, 7 kg, 1.400 U/Min, Schontrommel, Mengenautomatik, CapDosing)",32801015042,0.0
"MIELE WW630WCS Waschmaschine (Toplader, 6kg, C, 1200 U/Min)",32002005042,4.3
"Siemens WG44G2F20 Waschmaschine (Frontlader, freistehend, 9 kg, A, 1400 U/Min, iQ500)",32008176057,0.0
"BOSCH WGB24400EX Waschmaschine (Serie 8, Frontlader, freistehend, 9 kg, A, 1.400 U/Min, Home Connect, Serie 8)",32008228010,0.0
"MIELE WDD131 WPS GuideLine Waschmaschine (Frontlader, unterbaufähig, 8 kg, A, 1400 U/Min, Waterproof-System, Schontrommel)",32008112042,0.0
"AEG L8FL960EX Waschmaschine (Frontlader, freistehend, 9 kg, A, 1600 U/Min, ProSteam, Nachlegefunktion)",32008126500,5.0
